Designator,Mid X,Mid Y,Rotation,Layer
C1,168.2,-91.0,0.0,top
C2,161.65,-92.45,90.0,top
C3,149.25,-97.4,0.0,top
C4,136.2,-94.05,270.0,top
C5,139.45,-86.3,90.0,top
C6,143.6,-86.3,90.0,top
C7,134.1,-94.05,270.0,top
C8,136.0,-87.9,90.0,top
C9,149.25,-99.8,180.0,top
D1,153.5,-97.4,90.0,top
D2,157.95,-97.4,90.0,top
D3,174.1,-86.275,90.0,top
J1,172.25,-75.1,270.0,top
J2,164.825,-83.75,270.0,top
L1,148.3,-94.9,90.0,top
Q1,139.452,-89.798,270.0,top
R1,161.65,-96.3125,270.0,top
R2,145.0,-96.402,270.0,top
R3,141.8,-97.3,180.0,top
R4,135.1125,-91.1,0.0,top
R5,141.524,-86.2875,90.0,top
R6,169.8,-84.7,90.0,top
RV1,173.4,-100.25,180.0,top
